batsman,season,strikerate
"Anirudh Singh",2010,4.3478260869565215
"Ankit Sharma",2012,0
"Ankit Sharma",2014,3.225806451612903
"Ankit Sharma",2015,0
"Ankit Sharma",2016,0
"Ankit Sharma",2017,6.25
"Ankit Soni",2017,22.22222222222222
"Anureet Singh",2015,9.67741935483871
"Anureet Singh",2017,0
"AP Dole",2010,4.3478260869565215
"AP Majumdar",2012,3.896103896103896
"AP Tare",2010,14.634146341463415
"AP Tare",2013,0
"AP Tare",2014,11.764705882352942
"AP Tare",2015,5.555555555555555
"AP Tare",2016,26.666666666666668
"AP Tare",2017,12
"AR Bawne",2017,0
"AR Patel",2014,1.639344262295082
"AR Patel",2015,7.18232044198895
"AR Patel",2016,4.938271604938271
"AR Patel",2017,5.847953216374269
"AS Rajpoot",2013,0
"AS Rajpoot",2017,0
"AS Raut",2009,7.6923076923076925
"AS Raut",2010,0
"AS Raut",2011,8.474576271186441
"AS Yadav",2008,7.5
"AT Rayudu",2010,10.852713178294573
"AT Rayudu",2011,4.225352112676056
"AT Rayudu",2012,5.363984674329502
"AT Rayudu",2013,5.1063829787234045
"AT Rayudu",2014,5.405405405405405
"AT Rayudu",2015,2.5641025641025643
"AT Rayudu",2016,3.1690140845070425
"AT Rayudu",2017,3.75
"AUK Pathan",2011,11.11111111111111
"AUK Pathan",2012,12.5
"Azhar Mahmood",2012,4.137931034482759
"Azhar Mahmood",2013,8.860759493670885
"Azhar Mahmood",2015,12.5
"B Akhil",2008,9.375
"B Akhil",2009,6.25
"B Akhil",2011,0
"B Chipli",2008,6.666666666666667
"B Chipli",2011,2.3255813953488373
"B Chipli",2012,0
"B Chipli",2013,31.57894736842105
"B Kumar",2011,0
"B Kumar",2012,4.878048780487805
"B Kumar",2013,1.3888888888888888
"B Kumar",2014,25
"B Kumar",2015,0
"B Kumar",2016,7.142857142857143
"B Kumar",2017,0
"B Laughlin",2013,0
"B Lee",2008,21.428571428571427
"B Lee",2009,8.571428571428571
"B Lee",2010,18.181818181818183
"B Lee",2011,0
"B Lee",2012,4.761904761904762
"B Lee",2013,0
"B Sumanth",2010,2.6315789473684212
"BA Bhatt",2011,0
"BA Bhatt",2012,0
"BA Stokes",2017,3.5242290748898677
"Basil Thampi",2017,13.333333333333334
"BAW Mendis",2009,0
"BAW Mendis",2010,0
"BAW Mendis",2013,0
"BB McCullum",2008,12.5
"BB McCullum",2009,9.274193548387096
"BB McCullum",2010,18.803418803418804
"BB McCullum",2011,14.04109589041096
"BB McCullum",2012,5.2264808362369335
"BB McCullum",2013,0
"BB McCullum",2014,5.571847507331379
"BB McCullum",2015,12.627986348122867
"BB McCullum",2016,9.89010989010989
"BB McCullum",2017,6.167400881057269
"BB Samantray",2012,0
"BB Samantray",2013,6.140350877192983
"BB Sran",2016,25
"BCJ Cutting",2014,16.666666666666668
"BCJ Cutting",2016,24.324324324324323
"BCJ Cutting",2017,3.7037037037037037
"BE Hendricks",2014,0
"BE Hendricks",2015,0
"Bipul Sharma",2010,0
"Bipul Sharma",2011,0
"Bipul Sharma",2012,0
"Bipul Sharma",2015,0
"Bipul Sharma",2016,4
"Bipul Sharma",2017,8
"BJ Haddin",2011,0
"BJ Hodge",2008,5.555555555555555
"BJ Hodge",2009,3.7854889589905363
"BJ Hodge",2010,6.315789473684211
"BJ Hodge",2011,9.387755102040817
"BJ Hodge",2012,5
"BJ Hodge",2013,10.714285714285714
"BJ Hodge",2014,2.7027027027027026
"BJ Rohrer",2013,8.219178082191782
"BMAJ Mendis",2013,0
"BR Dunk",2014,11.11111111111111
"C de Grandhomme",2017,4.3478260869565215
"C Madan",2010,33.333333333333336
"C Munro",2016,16.129032258064516
"C Nanda",2009,0
"CA Ingram",2011,23.076923076923077
"CA Lynn",2012,10
"CA Lynn",2014,5.769230769230769
"CA Lynn",2016,4.3478260869565215
"CA Lynn",2017,12
"CA Pujara",2010,10.92436974789916
"CA Pujara",2011,6.25
"CA Pujara",2012,4.3478260869565215
"CA Pujara",2013,3
"CA Pujara",2014,9.30232558139535
"CH Gayle",2009,10.69182389937107
"CH Gayle",2010,16.243654822335024
"CH Gayle",2011,8.771929824561404
"CH Gayle",2012,6.1440677966101696
"CH Gayle",2013,11.983471074380166
"CH Gayle",2014,7.446808510638298
"CH Gayle",2015,13.09192200557103
"CH Gayle",2016,11.949685534591195
"CH Gayle",2017,9.883720930232558
"CH Morris",2013,5.882352941176471
"CH Morris",2015,6.382978723404255
"CH Morris",2016,7.894736842105263
"CH Morris",2017,4.123711340206185
"CJ Anderson",2014,4.301075268817204
"CJ Anderson",2015,3.061224489795918
"CJ Anderson",2017,7.6923076923076925
"CJ Ferguson",2011,3.5714285714285716
"CJ Ferguson",2012,1.5873015873015872
"CJ Jordan",2016,25
"CJ Jordan",2017,0
"CJ McKay",2012,0
"CK Kapugedera",2008,12.5
"CK Langeveldt",2010,0
"CK Langeveldt",2011,0
"CL White",2008,4.761904761904762
"CL White",2010,0
"CL White",2011,0.9174311926605505
"CL White",2012,3.9755351681957185
"CL White",2013,5
"CM Gautam",2013,8.108108108108109
"CM Gautam",2014,23.275862068965516
"CM Gautam",2015,0
"CR Brathwaite",2016,22.5
"CR Brathwaite",2017,6.25
"CR Woakes",2017,0
"CRD Fernando",2008,0
"CRD Fernando",2010,0
"D du Preez",2009,0
"D Kalyankrishna",2008,12.5
"D Salunkhe",2008,0
"D Wiese",2015,10
"D Wiese",2016,0
"DA Miller",2012,6.578947368421052
"DA Miller",2013,6.614785992217898
"DA Miller",2014,8.794788273615636
"DA Miller",2015,7.299270072992701
"DA Miller",2016,6.474820143884892
"DA Miller",2017,7.317073170731708
"DA Warner",2009,5.839416058394161
"DA Warner",2010,3.58974358974359
"DA Warner",2011,7.117437722419929
"DA Warner",2012,16.149068322981368
"DA Warner",2013,5.405405405405405
"DA Warner",2014,7.253886010362694
"DA Warner",2015,7.336956521739131
"DA Warner",2016,6.217616580310881
"DA Warner",2017,6.2770562770562774
"DAJ Bracewell",2012,0
"DB Das",2008,5.2631578947368425
"DB Das",2012,7.291666666666667
"DB Das",2013,6.578947368421052
"DB Ravi Teja",2008,8.235294117647058
"DB Ravi Teja",2009,12.67605633802817
"DB Ravi Teja",2011,5.442176870748299
"DB Ravi Teja",2012,0
"DB Ravi Teja",2013,11.11111111111111
"DE Bollinger",2010,17.647058823529413
"DE Bollinger",2011,0
"DE Bollinger",2012,0
"DH Yagnik",2011,17.391304347826086
"DH Yagnik",2012,7.142857142857143
"DH Yagnik",2013,11.11111111111111
"DH Yagnik",2014,16.666666666666668
"DJ Bravo",2008,8.75912408759124
"DJ Bravo",2009,6.161137440758294
"DJ Bravo",2010,1.8867924528301887
"DJ Bravo",2011,0
"DJ Bravo",2012,5.904059040590406
"DJ Bravo",2013,8.928571428571429
"DJ Bravo",2014,0
"DJ Bravo",2015,7.947019867549669
"DJ Bravo",2016,10.227272727272727
"DJ Harris",2012,7.766990291262136
"DJ Hooda",2015,5.05050505050505
"DJ Hooda",2016,5.6
"DJ Hooda",2017,1.8867924528301887
"DJ Hussey",2008,6.741573033707865
"DJ Hussey",2009,8.19672131147541
"DJ Hussey",2010,8.98876404494382
"DJ Hussey",2011,9.23076923076923
"DJ Hussey",2012,6.389776357827476
"DJ Hussey",2013,1.4285714285714286
"DJ Hussey",2014,2.0833333333333335
"DJ Jacobs",2011,9.89010989010989
"DJ Jacobs",2012,10
"DJ Muthuswami",2015,0
"DJ Thornely",2008,25.925925925925927
"DJG Sammy",2013,8.088235294117647
"DJG Sammy",2014,11.34020618556701
"DJG Sammy",2015,0
"DL Chahar",2017,0
"DL Vettori",2009,9.375
"DL Vettori",2010,21.428571428571427
"DL Vettori",2011,26.666666666666668
"DL Vettori",2012,10.714285714285714
"DM Bravo",2017,0
"DNT Zoysa",2008,22.22222222222222
"DP Nannes",2010,0
"DP Vijaykumar",2008,0
"DPMD Jayawardene",2008,7.246376811594203
"DPMD Jayawardene",2009,6.395348837209302
"DPMD Jayawardene",2010,7.371794871794871
"DPMD Jayawardene",2011,11.029411764705882
"DPMD Jayawardene",2012,6.5359477124183005
"DPMD Jayawardene",2013,8.385093167701863
"DR Martyn",2010,7.6923076923076925
"DR Smith",2008,7.317073170731708
"DR Smith",2009,6.7164179104477615
"DR Smith",2010,4
"DR Smith",2012,8.823529411764707
"DR Smith",2013,7.6923076923076925
"DR Smith",2014,7.764705882352941
"DR Smith",2015,9.3841642228739
"DR Smith",2016,4.867256637168142
"DR Smith",2017,3.1645569620253164
"DS Kulkarni",2008,5.882352941176471
"DS Kulkarni",2009,11.11111111111111
"DS Kulkarni",2011,0
"DS Kulkarni",2012,0
"DS Kulkarni",2014,7.407407407407407
"DS Kulkarni",2015,8.333333333333334
"DS Kulkarni",2016,6.25
"DS Kulkarni",2017,0
"DS Lehmann",2008,10.526315789473685
"DT Christian",2011,3.7267080745341614
"DT Christian",2012,5.737704918032787
"DT Christian",2013,6.25
"DT Christian",2017,9.615384615384615
"DT Patil",2008,0
"DW Steyn",2008,0
"DW Steyn",2009,0
"DW Steyn",2010,23.529411764705884
"DW Steyn",2011,16.216216216216218
"DW Steyn",2012,0
"DW Steyn",2013,5.405405405405405
"DW Steyn",2014,0
"DW Steyn",2015,0
"DW Steyn",2016,0
"EJG Morgan",2010,3.225806451612903
"EJG Morgan",2011,9.75609756097561
"EJG Morgan",2013,12.8
"EJG Morgan",2015,2.5974025974025974
"EJG Morgan",2016,2.857142857142857
"EJG Morgan",2017,1.6129032258064515
"ER Dwivedi",2016,33.333333333333336
"F Behardien",2016,0
"F du Plessis",2012,2.903225806451613
"F du Plessis",2014,2.9166666666666665
"F du Plessis",2015,4.73186119873817
"F du Plessis",2016,10.059171597633137
"F du Plessis",2017,0
"FH Edwards",2009,0
"FY Fazal",2010,14.375
"FY Fazal",2011,5.2631578947368425
"G Gambhir",2008,8.121827411167512
"G Gambhir",2009,4.946996466431095
"G Gambhir",2010,9.865470852017937
"G Gambhir",2011,10.240963855421686
"G Gambhir",2012,6.293706293706293
"G Gambhir",2013,9.03954802259887
"G Gambhir",2014,7.973421926910299
"G Gambhir",2015,6.597222222222222
"G Gambhir",2016,4.481132075471698
"G Gambhir",2017,8.148148148148149
"GB Hogg",2012,0
"GB Hogg",2015,0
"GC Smith",2008,11.733333333333333
"GC Smith",2009,5.8558558558558556
"GC Smith",2010,2.5
"GC Smith",2011,5.555555555555555
"GD McGrath",2008,0
"GH Vihari",2013,5.923344947735192
"GH Vihari",2015,5.555555555555555
"GJ Bailey",2009,15
"GJ Bailey",2010,14.814814814814815
"GJ Bailey",2014,2.6315789473684212
"GJ Bailey",2015,4.081632653061225
"GJ Bailey",2016,6.0606060606060606
"GJ Maxwell",2012,18.181818181818183
"GJ Maxwell",2013,0
"GJ Maxwell",2014,10.576923076923077
"GJ Maxwell",2015,6.956521739130435
"GJ Maxwell",2016,6.976744186046512
"GJ Maxwell",2017,13.440860215053764
"GR Napier",2009,0
"Gurkeerat Singh",2012,12.962962962962964
"Gurkeerat Singh",2013,9.183673469387756
"Gurkeerat Singh",2015,7.317073170731708
"Gurkeerat Singh",2016,1.1494252873563218
"H Das",2008,0
"Harbhajan Singh",2008,0
"Harbhajan Singh",2009,12.280701754385966
"Harbhajan Singh",2010,15.625
"Harbhajan Singh",2011,10.81081081081081
"Harbhajan Singh",2012,4.878048780487805
"Harbhajan Singh",2013,3.658536585365854
"Harbhajan Singh",2014,7.6923076923076925
"Harbhajan Singh",2015,16.049382716049383
"Harbhajan Singh",2016,7.6923076923076925
"Harbhajan Singh",2017,17.647058823529413
"Harmeet Singh",2010,0
"Harmeet Singh",2012,0
"Harmeet Singh",2013,0
"Harpreet Singh",2011,0
"Harpreet Singh",2012,0
"HH Gibbs",2008,8.80503144654088
"HH Gibbs",2009,9.011627906976743
"HH Gibbs",2010,7.818930041152264
"HH Gibbs",2012,5.4945054945054945
"HH Pandya",2015,14.705882352941176
"HH Pandya",2016,16.666666666666668
"HH Pandya",2017,10.465116279069768
"HM Amla",2016,5.737704918032787
"HM Amla",2017,5.405405405405405
"HV Patel",2012,11.764705882352942
"HV Patel",2014,0
"HV Patel",2015,21.428571428571427
"I Malhotra",2011,0
"I Sharma",2008,9.090909090909092
"I Sharma",2009,7.6923076923076925
"I Sharma",2010,0
"I Sharma",2011,0
"I Sharma",2017,7.6923076923076925
"IC Pandey",2013,0
"IK Pathan",2008,12.5
"IK Pathan",2009,15.853658536585366
"IK Pathan",2010,6.914893617021277
"IK Pathan",2011,13.013698630136986
"IK Pathan",2012,9.774436090225564
"IK Pathan",2013,3.7735849056603774
"IK Pathan",2014,10.344827586206897
"IK Pathan",2016,14.285714285714286
"IK Pathan",2017,0
"Imran Tahir",2014,0
"Imran Tahir",2015,0
"Imran Tahir",2016,0
"Imran Tahir",2017,0
"Iqbal Abdulla",2008,0
"Iqbal Abdulla",2010,100
"Iqbal Abdulla",2011,0
"Iqbal Abdulla",2012,0
"Iqbal Abdulla",2013,7.142857142857143
"Iqbal Abdulla",2015,20
"Iqbal Abdulla",2016,11.11111111111111
"Iqbal Abdulla",2017,0
"IR Jaggi",2011,10.526315789473685
"IR Jaggi",2012,4.545454545454546
"IR Jaggi",2017,7.5
"Ishan Kishan",2016,4.878048780487805
"Ishan Kishan",2017,5.607476635514018
"J Arunkumar",2008,8.333333333333334
"J Botha",2009,14.285714285714286
"J Botha",2011,3
"J Botha",2012,3.6363636363636362
"J Botha",2013,0
"J Botha",2015,6.666666666666667
"J Suchith",2015,9.090909090909092
"J Syed Mohammad",2011,7.6923076923076925
"J Syed Mohammad",2012,0
"J Syed Mohammad",2013,0
"J Theron",2010,16.666666666666668
"J Theron",2012,0
"J Theron",2015,0
"J Yadav",2016,16.666666666666668
"JA Morkel",2008,5.9523809523809526
"JA Morkel",2009,6.8493150684931505
"JA Morkel",2010,8.148148148148149
"JA Morkel",2011,9.25925925925926
"JA Morkel",2012,9.859154929577464
"JA Morkel",2013,0
"JA Morkel",2014,4.878048780487805
"JA Morkel",2015,7.142857142857143
"JA Morkel",2016,11.11111111111111
"Jaskaran Singh",2010,0
"JC Buttler",2016,4.761904761904762
"JC Buttler",2017,9.13978494623656
"JD Ryder",2009,2.0408163265306123
"JD Ryder",2011,6.467661691542289
"JD Ryder",2012,5.555555555555555
"JD Unadkat",2013,0
"JD Unadkat",2014,0
"JD Unadkat",2017,20
"JDP Oram",2008,7.6923076923076925
"JDP Oram",2009,3.1914893617021276
"JDP Oram",2011,0
"JDS Neesham",2014,6.521739130434782
"JE Taylor",2011,25
"JEC Franklin",2011,5
"JEC Franklin",2012,4.8034934497816595
"JH Kallis",2008,9.574468085106384
"JH Kallis",2009,6.876790830945558
"JH Kallis",2010,7.7369439071566735
"JH Kallis",2011,5.699481865284974
"JH Kallis",2012,5.089058524173028
"JH Kallis",2013,3.9755351681957185
"JH Kallis",2014,2.2900763358778624
"JJ Bumrah",2014,25
"JJ Bumrah",2016,0
"JJ Bumrah",2017,0
"JJ Roy",2017,2.4390243902439024
"JJ van der Wath",2011,5.882352941176471
"JM Kemp",2010,4
"JO Holder",2014,0
"JO Holder",2016,15
"Joginder Sharma",2008,0
"Joginder Sharma",2009,0
"Joginder Sharma",2011,0
"JP Duminy",2009,5.9880239520958085
"JP Duminy",2010,4.477611940298507
"JP Duminy",2011,2.840909090909091
"JP Duminy",2012,6.666666666666667
"JP Duminy",2014,5.787781350482315
"JP Duminy",2015,6.72782874617737
"JP Duminy",2016,3.821656050955414
"JP Faulkner",2012,7.142857142857143
"JP Faulkner",2013,0
"JP Faulkner",2014,8.080808080808081
"JP Faulkner",2015,9.482758620689655
"JP Faulkner",2016,5
"JP Faulkner",2017,6.666666666666667
"JR Hopes",2008,5.2631578947368425
"JR Hopes",2011,4.938271604938271
"K Goel",2008,3.7974683544303796
"K Goel",2009,8.571428571428571
"K Goel",2010,5
"K Rabada",2017,7.352941176470588
"K Upadhyay",2012,0
"K Upadhyay",2013,0
"KA Pollard",2010,7.2368421052631575
"KA Pollard",2011,12.76595744680851
"KA Pollard",2012,7.361963190184049
"KA Pollard",2013,6.551724137931035
"KA Pollard",2014,4.8076923076923075
"KA Pollard",2015,7.037037037037037
"KA Pollard",2016,16.025641025641026
"KA Pollard",2017,8.843537414965986
"KAJ Roach",2010,0
"Kamran Akmal",2008,5.128205128205129
"Kamran Khan",2009,0
"Karanveer Singh",2014,0
"Karanveer Singh",2015,0
"KB Arun Karthik",2010,20
"KB Arun Karthik",2011,50
"KB Arun Karthik",2013,20
"KC Cariappa",2016,0
"KC Cariappa",2017,0
"KC Sangakkara",2008,7.246376811594203
"KC Sangakkara",2009,8.132530120481928
"KC Sangakkara",2010,1.9230769230769231
"KC Sangakkara",2011,5.704697986577181
"KC Sangakkara",2012,12.631578947368421
"KC Sangakkara",2013,3.6496350364963503
"KD Karthik",2008,6.481481481481482
"KD Karthik",2009,6.696428571428571
"KD Karthik",2010,8.677685950413224
"KD Karthik",2011,4.888888888888889
"KD Karthik",2012,4.608294930875576
"KD Karthik",2013,6.161137440758294
"KD Karthik",2014,2.681992337164751
"KD Karthik",2015,6.666666666666667
"KD Karthik",2016,3.2967032967032965
"KD Karthik",2017,7.08955223880597
"KH Pandya",2016,3.1496062992125986
"KH Pandya",2017,9.13978494623656
"KJ Abbott",2016,0
"KK Cooper",2012,5
"KK Cooper",2013,0
"KK Cooper",2014,17.857142857142858
"KK Nair",2013,0
"KK Nair",2014,3.3755274261603376
"KK Nair",2015,4.761904761904762
"KK Nair",2016,5.2631578947368425
"KK Nair",2017,6.986899563318778
"KL Rahul",2013,0
"KL Rahul",2014,3.6144578313253013
"KL Rahul",2015,10.526315789473685
"KL Rahul",2016,6.498194945848375
"KM Jadhav",2010,6.666666666666667
"KM Jadhav",2011,0
"KM Jadhav",2013,3.937007874015748
"KM Jadhav",2014,9.615384615384615
"KM Jadhav",2015,4.195804195804196
"KM Jadhav",2016,12.121212121212121
"KM Jadhav",2017,7.216494845360825
"KMDN Kulasekara",2012,33.333333333333336
"KP Appanna",2009,100
"KP Appanna",2010,0
"KP Pietersen",2009,8.98876404494382
"KP Pietersen",2010,5.031446540880503
"KP Pietersen",2012,1.9047619047619047
"KP Pietersen",2014,6.694560669456067
"KP Pietersen",2016,3.278688524590164
"KS Williamson",2015,24.137931034482758
"KS Williamson",2016,7.936507936507937
"KS Williamson",2017,5.294117647058823
"Kuldeep Yadav",2017,0
"KV Sharma",2009,0
"KV Sharma",2013,6.741573033707865
"KV Sharma",2014,16.666666666666668
"KV Sharma",2015,5.747126436781609
"KV Sharma",2016,26.470588235294116
"KV Sharma",2017,2.380952380952381
"KW Richardson",2013,0
"KW Richardson",2014,0
"KW Richardson",2016,0
"L Ablish",2011,0
"L Balaji",2008,40
"L Balaji",2009,30
"L Balaji",2010,0
"L Balaji",2011,0
"L Balaji",2013,0
"L Balaji",2014,0
"L Ronchi",2008,5.882352941176471
"L Ronchi",2009,33.333333333333336
"LA Carseldine",2009,8.450704225352112
"LA Pomersbach",2008,14.851485148514852
"LA Pomersbach",2009,8.16326530612245
"LA Pomersbach",2011,7.317073170731708
"LA Pomersbach",2013,10
"LH Ferguson",2017,0
"LJ Wright",2013,6.349206349206349
"LMP Simmons",2014,5.016722408026756
"LMP Simmons",2015,5.274725274725275
"LMP Simmons",2016,0
"LMP Simmons",2017,7.758620689655173
"LPC Silva",2008,11.11111111111111
"LR Shukla",2008,9.448818897637794
"LR Shukla",2009,4.651162790697675
"LR Shukla",2010,22.22222222222222
"LR Shukla",2011,0
"LR Shukla",2012,0
"LR Shukla",2013,7.6923076923076925
"LR Shukla",2014,10.526315789473685
"LRPL Taylor",2008,8.235294117647058
"LRPL Taylor",2009,8.056872037914692
"LRPL Taylor",2010,6.4935064935064934
"LRPL Taylor",2011,13.924050632911392
"LRPL Taylor",2012,6.214689265536723
"LRPL Taylor",2013,2.5974025974025974
"LRPL Taylor",2014,4.838709677419355
"M Ashwin",2016,0
"M de Lange",2014,0
"M Kaif",2008,10.227272727272727
"M Kaif",2010,3.225806451612903
"M Kaif",2011,5.714285714285714
"M Kaif",2012,0
"M Kartik",2008,14.285714285714286
"M Kartik",2009,0
"M Kartik",2010,0
"M Kartik",2011,13.333333333333334
"M Kartik",2012,0
"M Kartik",2013,0
"M Klinger",2011,5.128205128205129
"M Manhas",2009,7.6923076923076925
"M Manhas",2010,3.3112582781456954
"M Manhas",2011,4.6875
"M Manhas",2012,7.070707070707071
"M Manhas",2013,0
"M Manhas",2014,26.923076923076923
"M Morkel",2009,11.11111111111111
"M Morkel",2010,0
"M Morkel",2011,4
"M Morkel",2012,0
"M Morkel",2013,3.3333333333333335
"M Morkel",2014,25
"M Morkel",2015,0
"M Morkel",2016,0
"M Muralitharan",2008,0
"M Muralitharan",2009,0
"M Muralitharan",2010,0
"M Muralitharan",2011,25
"M Muralitharan",2012,0
"M Ntini",2008,5.2631578947368425
"M Rawat",2008,5.128205128205129
"M Rawat",2009,10
"M Rawat",2013,0
"M Vijay",2009,10.144927536231885
"M Vijay",2010,7.540983606557377
"M Vijay",2011,3.7249283667621778
"M Vijay",2012,4.395604395604396
"M Vijay",2013,4.436860068259386
"M Vijay",2014,9.644670050761421
"M Vijay",2015,6.437768240343348
"M Vijay",2016,6.166219839142091
"M Vohra",2013,0
"M Vohra",2014,6.967213114754099
"M Vohra",2015,7.228915662650603
"M Vohra",2016,5.147058823529412
"M Vohra",2017,12.352941176470589
"MA Agarwal",2011,14.728682170542635
"MA Agarwal",2012,5.487804878048781
"MA Agarwal",2013,3.125
"MA Agarwal",2014,3.225806451612903
"MA Agarwal",2015,6.951871657754011
"MA Agarwal",2016,3.8461538461538463
"MA Agarwal",2017,10.344827586206897
"MA Khote",2008,13.636363636363637
"MA Starc",2014,13.095238095238095
"MA Starc",2015,0
"Mandeep Singh",2010,0
"Mandeep Singh",2011,2.380952380952381
"Mandeep Singh",2012,4.871060171919771
"Mandeep Singh",2013,6.140350877192983
"Mandeep Singh",2014,17.857142857142858
"Mandeep Singh",2015,5.882352941176471
"Mandeep Singh",2017,2.808988764044944
"Mashrafe Mortaza",2009,0
"MC Henriques",2009,0
"MC Henriques",2010,0
"MC Henriques",2013,4.724409448818897
"MC Henriques",2014,14.285714285714286
"MC Henriques",2015,4.166666666666667
"MC Henriques",2016,4.320987654320987
"MC Henriques",2017,2.926829268292683
"MC Juneja",2013,9.701492537313433
"MD Mishra",2010,10.738255033557047
"MD Mishra",2011,1.6666666666666667
"MD Mishra",2012,0
"MDKJ Perera",2013,7.6923076923076925
"MEK Hussey",2008,2
"MEK Hussey",2010,4.545454545454546
"MEK Hussey",2011,6.382978723404255
"MEK Hussey",2012,4.979253112033195
